State,Year,Week,Mean_Max_Temp,Max_Temp,Min_Max_Temp,SD_Temp,Mean_Min_Temp,Min_Temp,Heat_Days_Count,Mean_Humidity_Max,Mean_Humidity_Min,Total_Rainfall,Mean_Solar_Radiation,Week_Start_Date,Mean_Temp,Deaths,Population,Death_Rate_Per_100k,Mean_Temp_Lag1,Mean_Temp_Lag2,Max_Temp_Lag1,Max_Temp_Lag2,Min_Temp_Lag1,Min_Temp_Lag2,SD_Temp_Lag1,SD_Temp_Lag2,Heat_Days_Count_Lag1,Heat_Days_Count_Lag2,Mean_Humidity_Max_Lag1,Mean_Humidity_Max_Lag2,Total_Rainfall_Lag1,Total_Rainfall_Lag2,Log_Population,Mean_Temp_Scaled,Max_Temp_Scaled,Min_Temp_Scaled,SD_Temp_Scaled,Mean_Max_Temp_Scaled,Mean_Min_Temp_Scaled,Heat_Days_Count_Scaled,Mean_Humidity_Max_Scaled,Mean_Humidity_Min_Scaled,Total_Rainfall_Scaled,Mean_Solar_Radiation_Scaled,Death_Rate_Per_100k_Scaled,Mean_Temp_Lag1_Scaled,Mean_Temp_Lag2_Scaled,Max_Temp_Lag1_Scaled,Max_Temp_Lag2_Scaled,Min_Temp_Lag1_Scaled,Min_Temp_Lag2_Scaled,SD_Temp_Lag1_Scaled,SD_Temp_Lag2_Scaled,Heat_Days_Count_Lag1_Scaled,Heat_Days_Count_Lag2_Scaled,Mean_Humidity_Max_Lag1_Scaled,Mean_Humidity_Max_Lag2_Scaled,Total_Rainfall_Lag1_Scaled,Total_Rainfall_Lag2_Scaled
NSW,2015,1,28.975,30.8,26.8,1.6499999999999997,21.25,20.4,1,58.825,93.025,0.0,28.674999999999997,2015-01-01,25.1125,952,8000000,11.9,,,,,,,,,,,,,,,15.89495209964411,1.362130179192905,0.5675339871124108,1.7137713902744007,-0.6646956210973569,1.1413366288745,1.5175472786412671,0.8514763174288386,0.8741764353696301,0.7705225633907162,-0.5449639663918266,2.066990234883129,-0.5705744318848703,,,,,,,,,,,,,,
NSW,2015,2,27.057142857142857,30.6,22.3,2.763365787620322,20.928571428571427,19.3,1,64.01428571428572,91.24285714285715,16.799999999999997,21.814285714285713,2015-01-05,23.99285714285714,890,8000000,11.125,25.1125,,30.8,,20.4,,1.6499999999999997,,1.0,,58.825,,0.0,,15.89495209964411,1.122037681481489,0.5337858107760511,1.5038367714461465,0.05162915547274,0.747972961625732,1.4492268938410535,0.8514763174288386,1.4351649760620246,0.544321619985736,-0.08151655997899489,0.8974500544864381,-1.1056439111577678,1.364140488012924,,0.5706623613276093,,1.7145686811111103,,-0.6642623058856838,,0.8538004371645771,,0.8726362528269638,,-0.5447914362055148,
NSW,2015,3,28.642857142857142,35.0,23.0,4.085281362345049,20.314285714285717,18.8,2,52.114285714285714,81.58571428571429,10.4,26.74285714285714,2015-01-12,24.478571428571428,907,8000000,11.3375,23.99285714285714,25.1125,30.6,30.8,19.3,20.4,2.763365787620322,1.6499999999999997,1.0,1.0,64.01428571428572,58.825,16.799999999999997,0.0,15.89495209964411,1.2261926406162662,1.2762456901759671,1.4084119447060306,0.9021320982056438,1.0732121948816962,1.3186590473339797,2.144795340797957,0.14871362190713225,-0.681424574337042,-0.2580679528981688,1.7376194709088397,-0.9589313120022958,1.1240133594632602,1.366092995589709,0.536882313579875,0.5733546280972739,1.5046805413995903,1.715903387715655,0.05319949368882516,-0.6641509763086926,0.8538004371645771,0.8561401503800561,1.4337425480968073,0.8724493421867707,-0.0817721439891331,-0.5444442079526428
NSW,2015,4,27.857142857142858,34.5,22.0,3.890525732621553,20.728571428571428,18.0,1,59.42857142857143,89.62857142857142,18.6,24.585714285714285,2015-01-19,24.292857142857144,920,8000000,11.5,24.478571428571428,23.99285714285714,35.0,30.6,18.8,19.3,4.085281362345049,2.763365787620322,2.0,1.0,52.114285714285714,64.01428571428572,10.4,16.799999999999997,15.89495209964411,1.1863686856529696,1.1918752493350675,1.2557322219218452,0.7768289098926338,0.9120576198449574,1.4067164321875874,0.8514763174288386,0.9394256186986146,0.3394261762601812,-0.031861480720477085,1.369893146619615,-0.8467393244128175,1.2281833418643904,1.125949448782808,1.2800433640300317,0.5395482132874186,1.4092768415307173,1.5060234061540732,0.9050524405578944,0.0550224302525194,2.148165212419896,0.8561401503800561,0.14702116073333946,1.433682202769909,-0.2581604457858499,-0.08138667291135165
NSW,2015,5,22.614285714285717,26.0,20.3,2.387068335447319,17.142857142857142,14.0,0,62.542857142857144,83.71428571428571,130.4,16.771428571428572,2015-01-26,19.87857142857143,894,8000000,11.175,24.292857142857144,24.478571428571428,34.5,35.0,18.0,18.8,3.890525732621553,4.085281362345049,1.0,2.0,59.42857142857143,52.114285714285714,18.6,10.4,15.89495209964411,0.23978390998691093,-0.24242224496022516,0.49233360800091913,-0.19047563286268615,-0.16328290812746465,0.6445645839718731,-0.44184270594028,1.2760959610824878,-0.41125270606175635,3.052270664336344,0.037798448697720116,-1.071123299591774,1.1883536427110177,1.2301265536176997,1.1955932446606958,1.2832893391042353,1.2566309217405205,1.410623414535172,0.7795503583739781,0.9089075932707541,0.8538004371645771,2.151560746493429,0.9378991323180879,0.14667057753727528,-0.03216293410880636,-0.25778954340327204
NSW,2015,6,24.957142857142856,31.7,22.7,3.253642647278657,18.25714285714286,16.8,1,56.51428571428572,84.55714285714285,10.0,20.357142857142858,2015-02-02,21.607142857142858,915,8000000,11.4375,19.87857142857143,24.292857142857144,26.0,34.5,14.0,18.0,2.387068335447319,3.890525732621553,0.0,1.0,62.542857142857144,59.42857142857143,130.4,18.6,15.89495209964411,0.6104530292606748,0.7194007806260297,1.0267126377455675,0.36706678240295615,0.3172507338002654,0.8814085846126137,0.8514763174288386,0.6243763074770088,-0.304271899160804,-0.2691024149556172,0.6490521400659022,-0.8898900888703093,0.24163233206545617,1.19029413118083,-0.24005878461801675,1.198773302079597,0.49340132278953724,1.25798342794493,-0.18928958780917146,0.7831061080512488,-0.440564338090742,0.8561401503800561,1.2746401436569064,0.9377269426262409,3.049120212902592,-0.031773365585498904
NSW,2015,7,27.32857142857143,28.7,25.2,1.2526163095887035,21.042857142857144,20.1,0,63.24285714285714,91.8,31.400000000000002,20.3,2015-02-09,24.185714285714287,901,8000000,11.2625,21.607142857142858,19.87857142857143,31.7,26.0,16.8,14.0,3.253642647278657,2.387068335447319,1.0,0.0,56.51428571428572,62.542857142857144,10.0,130.4,15.89495209964411,1.1633933270202983,0.21317813558063237,1.6565164942303316,-0.9203670153611305,0.8036445420929693,1.4735185862144633,-0.44184270594028,1.3517695701504222,0.61503774658128,0.32124130511787097,0.639311045382744,-1.0107122293512867,0.612354916493006,0.24350809018137587,0.7226725761924139,-0.23799932733925366,1.0276620420552256,0.49478349499372115,0.36913781506659915,-0.1880451433775145,0.8538004371645771,-0.4392804457333169,0.6227836905147901,1.2745439105742769,-0.2691847146481447,3.049764278320237
NSW,2015,8,26.571428571428573,28.1,24.6,1.1368293418015536,21.142857142857142,20.2,0,64.81428571428572,89.27142857142857,13.0,21.0,2015-02-16,23.857142857142858,873,8000000,10.9125,24.185714285714287,21.607142857142858,28.7,31.7,20.1,16.8,1.2526163095887035,3.253642647278657,0.0,1.0,63.24285714285714,56.51428571428572,31.400000000000002,10.0,15.89495209964411,1.0929355605467728,0.11193360657155325,1.6756014595783544,-0.9948628142729465,0.6483501334212027,1.494773817041196,-0.44184270594028,1.5216491007110928,0.2940953258784229,-0.1863439495247544,0.7586394552514328,-1.25235651031324,1.165374970122533,0.6142560220937833,0.2159718599763977,0.7254834947416225,1.657326461189787,1.0290234480595675,-0.9203395275986208,0.3717144673522428,-0.440564338090742,0.8561401503800561,1.3503296370312274,0.6225404221611066,0.32061366948462744,-0.2688147228090171
NSW,2015,9,26.87142857142857,35.6,22.8,4.168418679273267,20.228571428571428,19.3,1,65.55714285714285,95.10000000000001,5.4,16.9,2015-02-23,23.549999999999997,900,8000000,11.25,23.857142857142858,24.185714285714287,28.1,28.7,20.2,20.1,1.1368293418015536,1.2526163095887035,0.0,0.0,64.81428571428572,63.24285714285714,13.0,31.400000000000002,15.89495209964411,1.0270728657997807,1.3774902191850467,1.5038367714461465,0.9556215449224595,0.7098818802534116,1.3004402780539221,0.8514763174288386,1.6019557878852266,1.0338948041087395,-0.3959987286162735,0.05971591173482587,-1.0193423822427845,1.0949070408511805,1.1673138874672508,0.11463171673319483,0.2183872725937929,1.6764072011635611,1.658663392744315,-0.9949535737634502,-0.920839106591367,-0.440564338090742,-0.4392804457333169,1.5202448262388888,1.3502504767644312,-0.18650269818093368,0.32103237539834206
NSW,2015,10,26.114285714285717,29.5,23.4,2.1011334809482958,18.214285714285715,14.6,0,51.18571428571429,79.85714285714286,13.2,19.5,2015-03-02,22.164285714285718,952,8000000,11.9,23.549999999999997,23.857142857142858,35.6,28.1,19.3,20.2,4.168418679273267,1.1368293418015536,1.0,0.0,65.55714285714285,64.81428571428572,5.4,13.0,15.89495209964411,0.7299248941505665,0.3481708409260718,0.606843400089058,-0.37444232470831706,0.5545874715816458,0.8722991999725849,-0.44184270594028,0.048330262939464165,-0.900825890184758,-0.18082671849603021,0.5029357198185279,-0.5705744318848703,1.0290348460975243,1.096841140078942,1.3813835072732352,0.11696802816422731,1.5046805413995903,1.6777433910680948,0.9586267911247508,-0.9956311551568784,0.8538004371645771,-0.4392804457333169,1.6005683702279638,1.5202039927015143,-0.395963806564535,-0.18612587726592936
